,query1,query2,size,siamese_distance
9,NORMAL14,NORMAL13,"(496, 512)",62.05669403076172
18,NORMAL14,NORMAL9,"(496, 512)",62.056697845458984
4,NORMAL14,DME5,"(496, 512)",62.05731201171875
15,NORMAL14,NORMAL6,"(496, 512)",62.05805969238281
12,NORMAL14,NORMAL3,"(496, 512)",62.05809783935547
7,NORMAL14,NORMAL10,"(496, 512)",62.05821228027344
16,NORMAL14,NORMAL7,"(496, 512)",62.05845642089844
5,NORMAL14,DME6,"(496, 512)",62.05854415893555
14,NORMAL14,NORMAL5,"(496, 512)",62.058773040771484
17,NORMAL14,NORMAL8,"(496, 512)",62.059078216552734
6,NORMAL14,NORMAL1,"(496, 512)",62.059120178222656
13,NORMAL14,NORMAL4,"(496, 512)",62.05929183959961
0,NORMAL14,DME1,"(496, 512)",62.059329986572266
1,NORMAL14,DME2,"(496, 512)",62.05961227416992
8,NORMAL14,NORMAL12,"(496, 512)",62.059696197509766
11,NORMAL14,NORMAL2,"(496, 512)",62.0605583190918
3,NORMAL14,DME4,"(496, 512)",62.06119918823242
10,NORMAL14,NORMAL15,"(496, 512)",62.061241149902344
2,NORMAL14,DME3,"(496, 512)",62.06492614746094
