,query1,query2,size,siamese_distance
10,DME1,NORMAL15,"(496, 512)",57.344242095947266
4,DME1,DME6,"(496, 512)",57.385372161865234
18,DME1,NORMAL9,"(496, 512)",57.987796783447266
9,DME1,NORMAL14,"(496, 512)",58.258018493652344
2,DME1,DME4,"(496, 512)",58.353477478027344
7,DME1,NORMAL12,"(496, 512)",58.36023712158203
8,DME1,NORMAL13,"(496, 512)",58.4240837097168
11,DME1,NORMAL2,"(496, 512)",58.56467819213867
5,DME1,NORMAL1,"(496, 512)",58.57752990722656
15,DME1,NORMAL6,"(496, 512)",58.59895324707031
3,DME1,DME5,"(496, 512)",58.709171295166016
12,DME1,NORMAL3,"(496, 512)",58.84968566894531
16,DME1,NORMAL7,"(496, 512)",58.90819549560547
0,DME1,DME2,"(496, 512)",59.09934997558594
13,DME1,NORMAL4,"(496, 512)",59.105308532714844
17,DME1,NORMAL8,"(496, 512)",59.15647506713867
6,DME1,NORMAL10,"(496, 512)",59.57037353515625
1,DME1,DME3,"(496, 512)",59.66688537597656
14,DME1,NORMAL5,"(496, 512)",59.87174606323242
