,query1,query2,size,siamese_distance
2,NORMAL7,DME3,"(496, 512)",58.158809661865234
0,NORMAL7,DME1,"(496, 512)",58.90819549560547
15,NORMAL7,NORMAL5,"(496, 512)",58.92820358276367
5,NORMAL7,DME6,"(496, 512)",59.0871467590332
11,NORMAL7,NORMAL15,"(496, 512)",59.11061096191406
7,NORMAL7,NORMAL10,"(496, 512)",59.346439361572266
1,NORMAL7,DME2,"(496, 512)",59.54045486450195
18,NORMAL7,NORMAL9,"(496, 512)",59.699954986572266
8,NORMAL7,NORMAL12,"(496, 512)",59.75123596191406
17,NORMAL7,NORMAL8,"(496, 512)",59.846336364746094
12,NORMAL7,NORMAL2,"(496, 512)",59.84849548339844
14,NORMAL7,NORMAL4,"(496, 512)",59.92099380493164
4,NORMAL7,DME5,"(496, 512)",59.92488098144531
3,NORMAL7,DME4,"(496, 512)",59.97777557373047
6,NORMAL7,NORMAL1,"(496, 512)",60.244510650634766
10,NORMAL7,NORMAL14,"(496, 512)",60.33716583251953
9,NORMAL7,NORMAL13,"(496, 512)",60.34198760986328
16,NORMAL7,NORMAL6,"(496, 512)",60.451698303222656
13,NORMAL7,NORMAL3,"(496, 512)",60.580230712890625
