,query1,query2,size,siamese_distance
1,DME5,DME2,"(496, 512)",63.44041442871094
10,DME5,NORMAL15,"(496, 512)",63.44047927856445
3,DME5,DME4,"(496, 512)",63.44070816040039
8,DME5,NORMAL13,"(496, 512)",63.4407844543457
9,DME5,NORMAL14,"(496, 512)",63.441123962402344
2,DME5,DME3,"(496, 512)",63.441158294677734
11,DME5,NORMAL2,"(496, 512)",63.44120407104492
0,DME5,DME1,"(496, 512)",63.44123458862305
18,DME5,NORMAL9,"(496, 512)",63.86235427856445
17,DME5,NORMAL8,"(496, 512)",64.94230651855469
4,DME5,DME6,"(496, 512)",65.23030090332031
14,DME5,NORMAL5,"(496, 512)",65.31156158447266
16,DME5,NORMAL7,"(496, 512)",65.31182861328125
13,DME5,NORMAL4,"(496, 512)",65.3118896484375
15,DME5,NORMAL6,"(496, 512)",65.31208801269531
12,DME5,NORMAL3,"(496, 512)",65.5318603515625
7,DME5,NORMAL12,"(496, 512)",65.69718933105469
6,DME5,NORMAL10,"(496, 512)",65.69744873046875
5,DME5,NORMAL1,"(496, 512)",65.69752502441406
