,query1,query2,size,siamese_distance
13,NORMAL15,NORMAL4,"(496, 512)",64.40210723876953
9,NORMAL15,NORMAL13,"(496, 512)",64.40216064453125
3,NORMAL15,DME4,"(496, 512)",64.40218353271484
1,NORMAL15,DME2,"(496, 512)",64.40251159667969
7,NORMAL15,NORMAL10,"(496, 512)",64.40258026123047
15,NORMAL15,NORMAL6,"(496, 512)",64.40265655517578
17,NORMAL15,NORMAL8,"(496, 512)",64.40274810791016
5,NORMAL15,DME6,"(496, 512)",64.40277099609375
11,NORMAL15,NORMAL2,"(496, 512)",64.40287017822266
2,NORMAL15,DME3,"(496, 512)",64.40300750732422
4,NORMAL15,DME5,"(496, 512)",64.40300750732422
0,NORMAL15,DME1,"(496, 512)",64.4031753540039
10,NORMAL15,NORMAL14,"(496, 512)",64.4031982421875
8,NORMAL15,NORMAL12,"(496, 512)",64.40321350097656
6,NORMAL15,NORMAL1,"(496, 512)",64.4033203125
18,NORMAL15,NORMAL9,"(496, 512)",64.40332794189453
16,NORMAL15,NORMAL7,"(496, 512)",64.40336608886719
12,NORMAL15,NORMAL3,"(496, 512)",64.40359497070312
14,NORMAL15,NORMAL5,"(496, 512)",64.40373229980469
