,query1,query2,size,siamese_distance
10,DME4,NORMAL15,"(496, 512)",62.32061004638672
11,DME4,NORMAL2,"(496, 512)",62.321266174316406
0,DME4,DME1,"(496, 512)",62.32268524169922
2,DME4,DME3,"(496, 512)",62.32269287109375
1,DME4,DME2,"(496, 512)",62.32270050048828
15,DME4,NORMAL6,"(496, 512)",62.32339859008789
12,DME4,NORMAL3,"(496, 512)",62.32339859008789
14,DME4,NORMAL5,"(496, 512)",62.32340621948242
13,DME4,NORMAL4,"(496, 512)",62.32340621948242
16,DME4,NORMAL7,"(496, 512)",62.323543548583984
9,DME4,NORMAL14,"(496, 512)",62.32630920410156
8,DME4,NORMAL13,"(496, 512)",62.32679748535156
6,DME4,NORMAL10,"(496, 512)",62.332359313964844
5,DME4,NORMAL1,"(496, 512)",62.332374572753906
4,DME4,DME6,"(496, 512)",62.332374572753906
3,DME4,DME5,"(496, 512)",62.332374572753906
7,DME4,NORMAL12,"(496, 512)",62.33238220214844
17,DME4,NORMAL8,"(496, 512)",62.3336296081543
18,DME4,NORMAL9,"(496, 512)",62.335880279541016
