,query1,query2,size,siamese_distance
9,NORMAL7,NORMAL13,"(496, 512)",62.318275451660156
8,NORMAL7,NORMAL12,"(496, 512)",62.318511962890625
7,NORMAL7,NORMAL10,"(496, 512)",62.31857681274414
11,NORMAL7,NORMAL15,"(496, 512)",62.31919860839844
16,NORMAL7,NORMAL6,"(496, 512)",62.31934356689453
4,NORMAL7,DME5,"(496, 512)",62.31936264038086
6,NORMAL7,NORMAL1,"(496, 512)",62.31937789916992
5,NORMAL7,DME6,"(496, 512)",62.31938552856445
3,NORMAL7,DME4,"(496, 512)",62.31938934326172
13,NORMAL7,NORMAL3,"(496, 512)",62.319427490234375
2,NORMAL7,DME3,"(496, 512)",62.319557189941406
18,NORMAL7,NORMAL9,"(496, 512)",62.31959533691406
10,NORMAL7,NORMAL14,"(496, 512)",62.320350646972656
17,NORMAL7,NORMAL8,"(496, 512)",62.32073974609375
12,NORMAL7,NORMAL2,"(496, 512)",62.3208122253418
14,NORMAL7,NORMAL4,"(496, 512)",62.321006774902344
15,NORMAL7,NORMAL5,"(496, 512)",62.32118606567383
0,NORMAL7,DME1,"(496, 512)",62.323570251464844
1,NORMAL7,DME2,"(496, 512)",62.323612213134766
