,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.42857142857142855,13.34172534942627
1,AMD10,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,14.267150163650513
2,AMD11,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.2857142857142857,13.55122447013855
3,AMD12,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.2857142857142857,13.932953119277954
4,AMD13,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.14285714285714285,14.188770771026611
5,AMD14,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.2857142857142857,13.347311735153198
6,AMD15,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,14.001094579696655
7,AMD2,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.5714285714285714,13.882933855056763
8,AMD3,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.2857142857142857,13.4050772190094
9,AMD4,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.14285714285714285,14.358273029327393
10,AMD5,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,13.837116241455078
11,AMD6,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,14.119566440582275
12,AMD7,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.2857142857142857,13.431864738464355
13,AMD8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.2857142857142857,13.385437965393066
14,AMD9,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.2857142857142857,13.710439205169678
15,DME1,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,13.207224369049072
16,DME10,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,13.24664855003357
17,DME11,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.7142857142857143,13.091501712799072
18,DME12,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.5714285714285714,13.310124635696411
19,DME13,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714,13.194713354110718
20,DME14,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.42857142857142855,13.266559362411499
21,DME15,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,13.046049356460571
22,DME2,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.5714285714285714,12.791754484176636
23,DME3,"3, 5, 7",0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,12.203955173492432
24,DME4,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,12.146308898925781
25,DME5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.42857142857142855,12.400424718856812
26,DME6,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,12.140580177307129
27,DME7,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.2857142857142857,12.10586929321289
28,DME8,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.2857142857142857,12.158015012741089
29,DME9,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.7142857142857143,14.509445905685425
30,NORMAL1,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.42857142857142855,15.18095064163208
31,NORMAL10,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.42857142857142855,14.817353010177612
32,NORMAL12,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714,14.496029138565063
33,NORMAL13,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,13.721014499664307
34,NORMAL14,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,13.462274551391602
35,NORMAL15,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.42857142857142855,14.596059560775757
36,NORMAL2,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.5714285714285714,13.27017855644226
37,NORMAL3,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,14.370022296905518
38,NORMAL4,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,13.95279335975647
39,NORMAL5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.14285714285714285,13.382472038269043
40,NORMAL6,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.5714285714285714,13.073137521743774
41,NORMAL7,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714,12.83897089958191
42,NORMAL8,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.5714285714285714,12.265545845031738
43,NORMAL9,"3, 5, 7",0.5,0.6666666666666666,0.5,0.8,0.5,0.8571428571428571,12.236856698989868
44,Average MAP and MRR,"3, 5, 7",0.6325757575757577,0.4242424242424242,0.6643939393939394,0.4318181818181817,0.6676406926406927,0.4220779220779222,591.2437725067139
