,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
1,AMD3,AMD10,"(496, 512)",62.59445571899414,0.09400010108947754,0.19602274894714355,0.00099945068359375,0.11897802352905273,0.31600022315979004
2,AMD3,AMD11,"(496, 512)",62.68296813964844,0.09400010108947754,0.07902884483337402,0.0009999275207519531,0.11998486518859863,0.2000136375427246
7,AMD3,AMD2,"(496, 512)",62.78535842895508,0.09400010108947754,0.09804606437683105,0.001008749008178711,0.11696982383728027,0.2170243263244629
22,AMD3,DME3,"(496, 512)",62.874969482421875,0.09400010108947754,0.19500279426574707,0.001035451889038086,0.11796164512634277,0.31399989128112793
11,AMD3,AMD7,"(496, 512)",62.90098190307617,0.09400010108947754,0.18705296516418457,0.0009930133819580078,0.12029647827148438,0.30834245681762695
0,AMD3,AMD1,"(496, 512)",62.932655334472656,0.09400010108947754,0.09799933433532715,0.0010004043579101562,0.11599326133728027,0.21499300003051758
15,AMD3,DME10,"(496, 512)",62.95640182495117,0.09400010108947754,0.0730130672454834,0.0009748935699462891,0.11800146102905273,0.19198942184448242
19,AMD3,DME14,"(496, 512)",62.97646713256836,0.09400010108947754,0.14200830459594727,0.0010144710540771484,0.11797809600830078,0.2610008716583252
34,AMD3,NORMAL15,"(496, 512)",62.989898681640625,0.09400010108947754,0.1919996738433838,0.0,0.11701011657714844,0.3090097904205322
26,AMD3,DME7,"(496, 512)",62.99118423461914,0.09400010108947754,0.1679999828338623,0.0009999275207519531,0.12000560760498047,0.2890055179595947
13,AMD3,AMD9,"(496, 512)",62.997520446777344,0.09400010108947754,0.1860191822052002,0.0009791851043701172,0.11900067329406738,0.3059990406036377
36,AMD3,NORMAL3,"(496, 512)",63.01646041870117,0.09400010108947754,0.19201898574829102,0.0009992122650146484,0.11732792854309082,0.3103461265563965
5,AMD3,AMD14,"(496, 512)",63.02822494506836,0.09400010108947754,0.1889941692352295,0.0009996891021728516,0.1199803352355957,0.30997419357299805
3,AMD3,AMD12,"(496, 512)",63.03131103515625,0.09400010108947754,0.07500791549682617,0.0010139942169189453,0.11796355247497559,0.1939854621887207
9,AMD3,AMD5,"(496, 512)",63.035308837890625,0.09400010108947754,0.07300019264221191,0.0009982585906982422,0.11800360679626465,0.1920020580291748
6,AMD3,AMD15,"(496, 512)",63.070133209228516,0.09400010108947754,0.09399700164794922,0.0009996891021728516,0.11732029914855957,0.21231698989868164
16,AMD3,DME11,"(496, 512)",63.072898864746094,0.09400010108947754,0.14202189445495605,0.0009777545928955078,0.11799883842468262,0.2609984874725342
28,AMD3,DME9,"(496, 512)",63.081520080566406,0.09400010108947754,0.14199018478393555,0.0009996891021728516,0.11700749397277832,0.2599973678588867
12,AMD3,AMD8,"(496, 512)",63.08494567871094,0.09400010108947754,0.07505154609680176,0.0009961128234863281,0.11957740783691406,0.19562506675720215
8,AMD3,AMD4,"(496, 512)",63.09432601928711,0.09400010108947754,0.07300090789794922,0.0009984970092773438,0.11894655227661133,0.1939699649810791
40,AMD3,NORMAL7,"(496, 512)",63.09576416015625,0.09400010108947754,0.18900084495544434,0.0009992122650146484,0.11700940132141113,0.3070094585418701
29,AMD3,NORMAL1,"(496, 512)",63.10107421875,0.09400010108947754,0.19202685356140137,0.00099945068359375,0.11902379989624023,0.31205010414123535
39,AMD3,NORMAL6,"(496, 512)",63.1207275390625,0.09400010108947754,0.19500946998596191,0.000989675521850586,0.1170039176940918,0.31400012969970703
31,AMD3,NORMAL12,"(496, 512)",63.12926483154297,0.09400010108947754,0.19205474853515625,0.0010004043579101562,0.11896800994873047,0.3120231628417969
27,AMD3,DME8,"(496, 512)",63.129268646240234,0.09400010108947754,0.14201712608337402,0.0009996891021728516,0.11798691749572754,0.2610037326812744
4,AMD3,AMD13,"(496, 512)",63.144432067871094,0.09400010108947754,0.07999944686889648,0.0010004043579101562,0.11902904510498047,0.2000288963317871
23,AMD3,DME4,"(496, 512)",63.157501220703125,0.09400010108947754,0.19303369522094727,0.0,0.12183880805969238,0.31487250328063965
17,AMD3,DME12,"(496, 512)",63.17615509033203,0.09400010108947754,0.14202308654785156,0.0009768009185791016,0.20600080490112305,0.3490006923675537
35,AMD3,NORMAL2,"(496, 512)",63.182167053222656,0.09400010108947754,0.1990203857421875,0.00099945068359375,0.11997485160827637,0.3199946880340576
38,AMD3,NORMAL5,"(496, 512)",63.1904411315918,0.09400010108947754,0.1930222511291504,0.00099945068359375,0.12002396583557129,0.31404566764831543
24,AMD3,DME5,"(496, 512)",63.192501068115234,0.09400010108947754,0.19104814529418945,0.0009999275207519531,0.11897754669189453,0.31102561950683594
30,AMD3,NORMAL10,"(496, 512)",63.199424743652344,0.09400010108947754,0.19802188873291016,0.0010006427764892578,0.11694025993347168,0.3159627914428711
18,AMD3,DME13,"(496, 512)",63.21125793457031,0.09400010108947754,0.1430220603942871,0.0009775161743164062,0.11799979209899902,0.26199936866760254
14,AMD3,DME1,"(496, 512)",63.22933578491211,0.09400010108947754,0.192000150680542,0.0009999275207519531,0.1200110912322998,0.31301116943359375
20,AMD3,DME15,"(496, 512)",63.238616943359375,0.09400010108947754,0.14202213287353516,0.0009765625,0.12030458450317383,0.263303279876709
33,AMD3,NORMAL14,"(496, 512)",63.247222900390625,0.09400010108947754,0.191986083984375,0.0009989738464355469,0.11802315711975098,0.3110082149505615
41,AMD3,NORMAL8,"(496, 512)",63.24927520751953,0.09400010108947754,0.19701194763183594,0.0010013580322265625,0.11992788314819336,0.31794118881225586
25,AMD3,DME6,"(496, 512)",63.27412414550781,0.09400010108947754,0.21200156211853027,0.00099945068359375,0.11999893188476562,0.33299994468688965
21,AMD3,DME2,"(496, 512)",63.28249740600586,0.09400010108947754,0.1920483112335205,0.00099945068359375,0.11797666549682617,0.31102442741394043
10,AMD3,AMD6,"(496, 512)",63.28817367553711,0.09400010108947754,0.07402801513671875,0.0009725093841552734,0.11896991729736328,0.1939704418182373
37,AMD3,NORMAL4,"(496, 512)",63.335060119628906,0.09400010108947754,0.1960294246673584,0.0009992122650146484,0.11797118186950684,0.3149998188018799
32,AMD3,NORMAL13,"(496, 512)",63.341251373291016,0.09400010108947754,0.19202280044555664,0.0009999275207519531,0.11999130249023438,0.31301403045654297
42,AMD3,NORMAL9,"(496, 512)",63.35905075073242,0.09400010108947754,0.19105029106140137,0.0010061264038085938,0.1169741153717041,0.30903053283691406
