,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
41,NORMAL15,NORMAL8,"(496, 512)",62.31187057495117,0.20099973678588867,0.20099925994873047,0.0010001659393310547,0.11700010299682617,0.3189995288848877
32,NORMAL15,NORMAL12,"(496, 512)",62.37484359741211,0.20099973678588867,0.19802117347717285,0.0010066032409667969,0.11797308921813965,0.3170008659362793
13,NORMAL15,AMD8,"(496, 512)",62.43477249145508,0.20099973678588867,0.07699847221374512,0.0010006427764892578,0.12000131607055664,0.19900107383728027
24,NORMAL15,DME4,"(496, 512)",62.43840408325195,0.20099973678588867,0.19900035858154297,0.0009999275207519531,0.1170041561126709,0.3170044422149658
36,NORMAL15,NORMAL3,"(496, 512)",62.46453857421875,0.20099973678588867,0.20403075218200684,0.0009927749633789062,0.11798238754272461,0.32300591468811035
18,NORMAL15,DME12,"(496, 512)",62.476985931396484,0.20099973678588867,0.1479811668395996,0.0009970664978027344,0.118011474609375,0.26698970794677734
27,NORMAL15,DME7,"(496, 512)",62.489471435546875,0.20099973678588867,0.14598679542541504,0.0010268688201904297,0.11797165870666504,0.2649853229522705
26,NORMAL15,DME6,"(496, 512)",62.52080535888672,0.20099973678588867,0.20203042030334473,0.0010042190551757812,0.11797904968261719,0.3210136890411377
14,NORMAL15,AMD9,"(496, 512)",62.52926254272461,0.20099973678588867,0.20103240013122559,0.002004384994506836,0.11696577072143555,0.32000255584716797
31,NORMAL15,NORMAL10,"(496, 512)",62.541648864746094,0.20099973678588867,0.19902372360229492,0.0009984970092773438,0.11800050735473633,0.3180227279663086
37,NORMAL15,NORMAL4,"(496, 512)",62.54759979248047,0.20099973678588867,0.20501947402954102,0.0010089874267578125,0.11998891830444336,0.3260173797607422
39,NORMAL15,NORMAL6,"(496, 512)",62.57715606689453,0.20099973678588867,0.20300650596618652,0.001001119613647461,0.11828422546386719,0.32229185104370117
30,NORMAL15,NORMAL1,"(496, 512)",62.58180236816406,0.20099973678588867,0.1959853172302246,0.0010001659393310547,0.1177053451538086,0.31469082832336426
21,NORMAL15,DME15,"(496, 512)",62.605934143066406,0.20099973678588867,0.1479799747467041,0.000997781753540039,0.11700081825256348,0.2659785747528076
5,NORMAL15,AMD14,"(496, 512)",62.60822677612305,0.20099973678588867,0.1960442066192627,0.0010113716125488281,0.11796975135803223,0.31502532958984375
25,NORMAL15,DME5,"(496, 512)",62.62995910644531,0.20099973678588867,0.1990189552307129,0.0009770393371582031,0.12000131607055664,0.31999731063842773
4,NORMAL15,AMD13,"(496, 512)",62.632686614990234,0.20099973678588867,0.07802271842956543,0.0009996891021728516,0.11796426773071289,0.19698667526245117
10,NORMAL15,AMD5,"(496, 512)",62.724124908447266,0.20099973678588867,0.07699370384216309,0.001004934310913086,0.12023568153381348,0.19823431968688965
35,NORMAL15,NORMAL2,"(496, 512)",62.729923248291016,0.20099973678588867,0.19902491569519043,0.0010008811950683594,0.20696759223937988,0.40699338912963867
40,NORMAL15,NORMAL7,"(496, 512)",62.76884460449219,0.20099973678588867,0.20802927017211914,0.001001119613647461,0.12494039535522461,0.3339707851409912
28,NORMAL15,DME8,"(496, 512)",62.820106506347656,0.20099973678588867,0.14699912071228027,0.0019996166229248047,0.1190025806427002,0.2680013179779053
15,NORMAL15,DME1,"(496, 512)",62.852046966552734,0.20099973678588867,0.20299696922302246,0.0010221004486083984,0.11797833442687988,0.32199740409851074
42,NORMAL15,NORMAL9,"(496, 512)",62.867591857910156,0.20099973678588867,0.20500922203063965,0.0010027885437011719,0.11897754669189453,0.32498955726623535
38,NORMAL15,NORMAL5,"(496, 512)",62.87310791015625,0.20099973678588867,0.20099353790283203,0.0020101070404052734,0.1175527572631836,0.3205564022064209
33,NORMAL15,NORMAL13,"(496, 512)",62.920654296875,0.20099973678588867,0.19997668266296387,0.001001596450805664,0.1180109977722168,0.31898927688598633
11,NORMAL15,AMD6,"(496, 512)",62.920860290527344,0.20099973678588867,0.07902836799621582,0.00099945068359375,0.11797189712524414,0.1979997158050537
34,NORMAL15,NORMAL14,"(496, 512)",62.955909729003906,0.20099973678588867,0.19798803329467773,0.0010018348693847656,0.1190037727355957,0.3179936408996582
9,NORMAL15,AMD4,"(496, 512)",62.980255126953125,0.20099973678588867,0.07702374458312988,0.0020105838775634766,0.11763262748718262,0.19666695594787598
19,NORMAL15,DME13,"(496, 512)",62.99437713623047,0.20099973678588867,0.1489887237548828,0.0009980201721191406,0.12066435813903809,0.27065110206604004
29,NORMAL15,DME9,"(496, 512)",63.12956237792969,0.20099973678588867,0.14699816703796387,0.0009996891021728516,0.11801433563232422,0.26601219177246094
3,NORMAL15,AMD12,"(496, 512)",63.27198791503906,0.20099973678588867,0.07699894905090332,0.0010044574737548828,0.12299466133117676,0.20099806785583496
