,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
41,DME12,NORMAL8,"(496, 512)",62.310977935791016,0.16199874877929688,0.23202204704284668,0.0009999275207519531,0.11565303802490234,0.348675012588501
20,DME12,DME15,"(496, 512)",62.36864471435547,0.16199874877929688,0.19201374053955078,0.0009996891021728516,0.11535859107971191,0.30837202072143555
25,DME12,DME6,"(496, 512)",62.37809753417969,0.16199874877929688,0.24298596382141113,0.0010018348693847656,0.12433743476867676,0.36832523345947266
24,DME12,DME5,"(496, 512)",62.37930679321289,0.16199874877929688,0.21799635887145996,0.0010020732879638672,0.1160116195678711,0.3350100517272949
26,DME12,DME7,"(496, 512)",62.394344329833984,0.16199874877929688,0.15603995323181152,0.0009987354278564453,0.11598730087280273,0.2730259895324707
34,DME12,NORMAL15,"(496, 512)",62.39910125732422,0.16199874877929688,0.20702385902404785,0.0009770393371582031,0.11604428291320801,0.32404518127441406
37,DME12,NORMAL4,"(496, 512)",62.4089241027832,0.16199874877929688,0.21500229835510254,0.0010263919830322266,0.11698269844055176,0.3330113887786865
5,DME12,AMD14,"(496, 512)",62.41143798828125,0.16199874877929688,0.1940321922302246,0.000997304916381836,0.11590814590454102,0.31093764305114746
9,DME12,AMD4,"(496, 512)",62.450225830078125,0.16199874877929688,0.08902215957641602,0.001979827880859375,0.1150047779083252,0.20600676536560059
14,DME12,AMD9,"(496, 512)",62.456504821777344,0.16199874877929688,0.24199843406677246,0.0020020008087158203,0.12272906303405762,0.3667294979095459
10,DME12,AMD5,"(496, 512)",62.45793533325195,0.16199874877929688,0.07699298858642578,0.0010004043579101562,0.11400508880615234,0.19199848175048828
11,DME12,AMD6,"(496, 512)",62.4661750793457,0.16199874877929688,0.07800889015197754,0.0009675025939941406,0.11400318145751953,0.1929795742034912
30,DME12,NORMAL10,"(496, 512)",62.47361755371094,0.16199874877929688,0.21995306015014648,0.0,0.12100672721862793,0.3409597873687744
42,DME12,NORMAL9,"(496, 512)",62.48119354248047,0.16199874877929688,0.2080545425415039,0.0009996891021728516,0.11796879768371582,0.3270230293273926
39,DME12,NORMAL6,"(496, 512)",62.4841194152832,0.16199874877929688,0.2130277156829834,0.0009925365447998047,0.11597895622253418,0.3299992084503174
23,DME12,DME4,"(496, 512)",62.49944305419922,0.16199874877929688,0.2629995346069336,0.00099945068359375,0.21000385284423828,0.4740028381347656
32,DME12,NORMAL13,"(496, 512)",62.502357482910156,0.16199874877929688,0.2329998016357422,0.0010228157043457031,0.11498403549194336,0.34900665283203125
31,DME12,NORMAL12,"(496, 512)",62.51213073730469,0.16199874877929688,0.23799347877502441,0.0009989738464355469,0.11700177192687988,0.35599422454833984
13,DME12,AMD8,"(496, 512)",62.518333435058594,0.16199874877929688,0.08200287818908691,0.0010211467742919922,0.11898922920227051,0.20201325416564941
29,DME12,NORMAL1,"(496, 512)",62.5242919921875,0.16199874877929688,0.2190244197845459,0.0010101795196533203,0.11599230766296387,0.3360269069671631
15,DME12,DME1,"(496, 512)",62.54409408569336,0.16199874877929688,0.2640266418457031,0.0020012855529785156,0.11597061157226562,0.38199853897094727
36,DME12,NORMAL3,"(496, 512)",62.55793762207031,0.16199874877929688,0.20899057388305664,0.0010268688201904297,0.11997127532958984,0.3299887180328369
33,DME12,NORMAL14,"(496, 512)",62.5649528503418,0.16199874877929688,0.23099207878112793,0.0010001659393310547,0.11799907684326172,0.3499913215637207
6,DME12,AMD15,"(496, 512)",62.60037612915039,0.16199874877929688,0.0990285873413086,0.0009999275207519531,0.11490917205810547,0.21493768692016602
27,DME12,DME8,"(496, 512)",62.60065841674805,0.16199874877929688,0.15801262855529785,0.0010025501251220703,0.11496782302856445,0.2739830017089844
35,DME12,NORMAL2,"(496, 512)",62.609954833984375,0.16199874877929688,0.21101808547973633,0.0010004043579101562,0.11398887634277344,0.3260073661804199
38,DME12,NORMAL5,"(496, 512)",62.619606018066406,0.16199874877929688,0.22502923011779785,0.0009686946868896484,0.11698484420776367,0.34298276901245117
18,DME12,DME13,"(496, 512)",62.655677795410156,0.16199874877929688,0.1529991626739502,0.0010004043579101562,0.11986637115478516,0.2738659381866455
4,DME12,AMD13,"(496, 512)",62.66238784790039,0.16199874877929688,0.07702136039733887,0.0009999275207519531,0.11697745323181152,0.19499874114990234
40,DME12,NORMAL7,"(496, 512)",62.66877365112305,0.16199874877929688,0.22499942779541016,0.0010006427764892578,0.12001204490661621,0.3460121154785156
3,DME12,AMD12,"(496, 512)",62.67041778564453,0.16199874877929688,0.07702207565307617,0.0020112991333007812,0.11396574974060059,0.19299912452697754
21,DME12,DME2,"(496, 512)",62.726287841796875,0.16199874877929688,0.2660229206085205,0.00099945068359375,0.13100004196166992,0.3980224132537842
19,DME12,DME14,"(496, 512)",62.73291778564453,0.16199874877929688,0.1650099754333496,0.0020008087158203125,0.16600847244262695,0.3330192565917969
28,DME12,DME9,"(496, 512)",62.83823013305664,0.16199874877929688,0.19100022315979004,0.0019996166229248047,0.12546467781066895,0.3184645175933838
12,DME12,AMD7,"(496, 512)",62.904930114746094,0.16199874877929688,0.19502043724060059,0.0010180473327636719,0.11395788192749023,0.3099963665008545
22,DME12,DME3,"(496, 512)",62.947696685791016,0.16199874877929688,0.24103307723999023,0.00096893310546875,0.1379990577697754,0.3800010681152344
0,DME12,AMD1,"(496, 512)",62.975589752197266,0.16199874877929688,0.10704326629638672,0.0009877681732177734,0.11597490310668945,0.22400593757629395
2,DME12,AMD11,"(496, 512)",63.01188659667969,0.16199874877929688,0.07902073860168457,0.0010142326354980469,0.11419105529785156,0.19422602653503418
7,DME12,AMD2,"(496, 512)",63.01380157470703,0.16199874877929688,0.10105752944946289,0.0009891986846923828,0.11699032783508301,0.21903705596923828
17,DME12,DME11,"(496, 512)",63.0536994934082,0.16199874877929688,0.17499852180480957,0.0009996891021728516,0.11500072479248047,0.2909989356994629
16,DME12,DME10,"(496, 512)",63.05388259887695,0.16199874877929688,0.0879678726196289,0.0009996891021728516,0.11800169944763184,0.2069692611694336
8,DME12,AMD3,"(496, 512)",63.360443115234375,0.16199874877929688,0.09898829460144043,0.0010004043579101562,0.1139991283416748,0.2139878273010254
1,DME12,AMD10,"(496, 512)",63.49249267578125,0.16199874877929688,0.2060234546661377,0.0010001659393310547,0.11745357513427734,0.3244771957397461
