,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
19,AMD11,DME14,"(496, 512)",62.08740997314453,0.07497239112854004,0.14599919319152832,0.0010004043579101562,0.11599993705749512,0.2629995346069336
5,AMD11,AMD15,"(496, 512)",62.13787841796875,0.07497239112854004,0.09903097152709961,0.0009987354278564453,0.11797642707824707,0.21800613403320312
7,AMD11,AMD3,"(496, 512)",62.1558837890625,0.07497239112854004,0.09902453422546387,0.00099945068359375,0.11797809600830078,0.2180020809173584
22,AMD11,DME3,"(496, 512)",62.15932846069336,0.07497239112854004,0.20598649978637695,0.0010004043579101562,0.1184546947479248,0.3254415988922119
13,AMD11,AMD9,"(496, 512)",62.16169357299805,0.07497239112854004,0.19500064849853516,0.001031637191772461,0.11653470993041992,0.31256699562072754
17,AMD11,DME12,"(496, 512)",62.17957305908203,0.07497239112854004,0.15002870559692383,0.00099945068359375,0.11698651313781738,0.26801466941833496
24,AMD11,DME5,"(496, 512)",62.185001373291016,0.07497239112854004,0.23599886894226074,0.0010421276092529297,0.12095785140991211,0.3579988479614258
9,AMD11,AMD5,"(496, 512)",62.19164276123047,0.07497239112854004,0.07802629470825195,0.0010111331939697266,0.11798930168151855,0.19702672958374023
26,AMD11,DME7,"(496, 512)",62.21186065673828,0.07497239112854004,0.16200041770935059,0.0010304450988769531,0.11696696281433105,0.2799978256225586
4,AMD11,AMD14,"(496, 512)",62.21761703491211,0.07497239112854004,0.1959996223449707,0.0010001659393310547,0.11600065231323242,0.31400036811828613
16,AMD11,DME11,"(496, 512)",62.23706817626953,0.07497239112854004,0.14801669120788574,0.0,0.11797022819519043,0.26598691940307617
28,AMD11,DME9,"(496, 512)",62.24702453613281,0.07497239112854004,0.16002392768859863,0.001999378204345703,0.11697578430175781,0.27899909019470215
12,AMD11,AMD8,"(496, 512)",62.25039291381836,0.07497239112854004,0.07802200317382812,0.000978231430053711,0.11599922180175781,0.19499945640563965
2,AMD11,AMD12,"(496, 512)",62.25216293334961,0.07497239112854004,0.07903122901916504,0.0010001659393310547,0.11596870422363281,0.1960000991821289
11,AMD11,AMD7,"(496, 512)",62.25217056274414,0.07497239112854004,0.19299030303955078,0.0010225772857666016,0.11797714233398438,0.31199002265930176
8,AMD11,AMD4,"(496, 512)",62.259918212890625,0.07497239112854004,0.07799935340881348,0.0019986629486083984,0.11658430099487305,0.19658231735229492
21,AMD11,DME2,"(496, 512)",62.27945327758789,0.07497239112854004,0.20402193069458008,0.0009999275207519531,0.11702561378479004,0.32204747200012207
1,AMD11,AMD10,"(496, 512)",62.30938720703125,0.07497239112854004,0.19299650192260742,0.0009942054748535156,0.11830520629882812,0.31229591369628906
14,AMD11,DME1,"(496, 512)",62.31475830078125,0.07497239112854004,0.20099973678588867,0.0010008811950683594,0.11799883842468262,0.31999945640563965
18,AMD11,DME13,"(496, 512)",62.33283615112305,0.07497239112854004,0.14698433876037598,0.00099945068359375,0.11600089073181152,0.26398468017578125
10,AMD11,AMD6,"(496, 512)",62.337547302246094,0.07497239112854004,0.07702803611755371,0.0010058879852294922,0.11597633361816406,0.19401025772094727
6,AMD11,AMD2,"(496, 512)",62.3383674621582,0.07497239112854004,0.10799312591552734,0.001001119613647461,0.12099885940551758,0.22999310493469238
27,AMD11,DME8,"(496, 512)",62.35078430175781,0.07497239112854004,0.14702415466308594,0.0010066032409667969,0.11897730827331543,0.26700806617736816
3,AMD11,AMD13,"(496, 512)",62.35244369506836,0.07497239112854004,0.07600593566894531,0.000993967056274414,0.11503243446350098,0.19300007820129395
0,AMD11,AMD1,"(496, 512)",62.358158111572266,0.07497239112854004,0.10399913787841797,0.000997304916381836,0.11498022079467773,0.21997666358947754
25,AMD11,DME6,"(496, 512)",62.37225341796875,0.07497239112854004,0.22400212287902832,0.001028299331665039,0.11697149276733398,0.34200191497802734
20,AMD11,DME15,"(496, 512)",62.380638122558594,0.07497239112854004,0.14703035354614258,0.0010073184967041016,0.11696815490722656,0.26500582695007324
15,AMD11,DME10,"(496, 512)",62.39169692993164,0.07497239112854004,0.07399940490722656,0.0009992122650146484,0.11706924438476562,0.19206786155700684
23,AMD11,DME4,"(496, 512)",62.528175354003906,0.07497239112854004,0.2540283203125,0.0010275840759277344,0.13097095489501953,0.38602685928344727
