,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,7.66989278793335
1,AMD10,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.743559837341309
2,AMD11,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.679418087005615
3,AMD12,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.42857142857142855,7.594277858734131
4,AMD13,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.42857142857142855,7.722044467926025
5,AMD14,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,7.634277820587158
6,AMD15,"3, 5, 7",0.5,0.3333333333333333,0.5,0.2,0.5,0.14285714285714285,7.631434202194214
7,AMD2,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.42857142857142855,7.700464725494385
8,AMD3,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.609548091888428
9,AMD4,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,7.566724538803101
10,AMD5,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.42857142857142855,7.685972452163696
11,AMD6,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.14285714285714285,7.668718338012695
12,AMD7,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.2857142857142857,7.617172479629517
13,AMD8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.2857142857142857,7.696882724761963
14,AMD9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.2857142857142857,7.636010646820068
15,DME1,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,7.597470045089722
16,DME10,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.5714285714285714,7.7027692794799805
17,DME11,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.5714285714285714,7.667067289352417
18,DME12,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,7.670698165893555
19,DME13,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.7142857142857143,7.614844560623169
20,DME14,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.5714285714285714,7.729051351547241
21,DME15,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.442281723022461
22,DME2,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,8.10607624053955
23,DME3,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.2857142857142857,8.315768718719482
24,DME4,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.42857142857142855,8.084660768508911
25,DME5,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,8.438914775848389
26,DME6,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.5714285714285714,7.926288366317749
27,DME7,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.42857142857142855,7.928778648376465
28,DME8,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,7.8159871101379395
29,DME9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.8,1.0,0.7142857142857143,7.9679059982299805
30,Average MAP and MRR,"3, 5, 7",0.7055555555555556,0.5666666666666668,0.7272222222222222,0.5533333333333335,0.7272222222222222,0.5047619047619046,233.86496210098267
