,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
12,DME10,AMD7,"(496, 512)",63.38109588623047,0.07999253273010254,0.19002628326416016,0.0009889602661132812,0.11497783660888672,0.30599308013916016
28,DME10,DME9,"(496, 512)",63.451969146728516,0.07999253273010254,0.1489849090576172,0.0010232925415039062,0.11602187156677246,0.26603007316589355
0,DME10,AMD1,"(496, 512)",63.46382141113281,0.07999253273010254,0.10197687149047852,0.0010039806365966797,0.11699628829956055,0.21997714042663574
16,DME10,DME11,"(496, 512)",63.54560852050781,0.07999253273010254,0.14699459075927734,0.0010030269622802734,0.11699819564819336,0.264995813369751
7,DME10,AMD2,"(496, 512)",63.88206100463867,0.07999253273010254,0.1000223159790039,0.0009763240814208984,0.11800169944763184,0.21900033950805664
19,DME10,DME14,"(496, 512)",63.92851638793945,0.07999253273010254,0.1490159034729004,0.0010113716125488281,0.11698031425476074,0.26700758934020996
18,DME10,DME13,"(496, 512)",63.96702194213867,0.07999253273010254,0.14799833297729492,0.001999378204345703,0.11500763893127441,0.26500535011291504
3,DME10,AMD12,"(496, 512)",63.99168014526367,0.07999253273010254,0.07500004768371582,0.0009996891021728516,0.11400079727172852,0.1900005340576172
21,DME10,DME2,"(496, 512)",64.10881042480469,0.07999253273010254,0.20103168487548828,0.0019998550415039062,0.11497068405151367,0.31800222396850586
22,DME10,DME3,"(496, 512)",64.25765991210938,0.07999253273010254,0.19903278350830078,0.0009918212890625,0.11797404289245605,0.31799864768981934
2,DME10,AMD11,"(496, 512)",64.53962707519531,0.07999253273010254,0.07805657386779785,0.0,0.11556863784790039,0.19362521171569824
27,DME10,DME8,"(496, 512)",64.6050033569336,0.07999253273010254,0.14902186393737793,0.00099945068359375,0.11601448059082031,0.266035795211792
6,DME10,AMD15,"(496, 512)",64.6872329711914,0.07999253273010254,0.10000801086425781,0.0009772777557373047,0.11600065231323242,0.21698594093322754
15,DME10,DME1,"(496, 512)",64.6954345703125,0.07999253273010254,0.20099282264709473,0.0010004043579101562,0.1163172721862793,0.3183104991912842
5,DME10,AMD14,"(496, 512)",64.75284576416016,0.07999253273010254,0.19597673416137695,0.0010232925415039062,0.11499190330505371,0.31199193000793457
26,DME10,DME7,"(496, 512)",64.7579116821289,0.07999253273010254,0.1510019302368164,0.0010292530059814453,0.11569714546203613,0.267728328704834
11,DME10,AMD6,"(496, 512)",64.77323150634766,0.07999253273010254,0.07502412796020508,0.0010027885437011719,0.1150047779083252,0.19103169441223145
9,DME10,AMD4,"(496, 512)",64.79585266113281,0.07999253273010254,0.07602286338806152,0.0009756088256835938,0.11963796615600586,0.19663643836975098
20,DME10,DME15,"(496, 512)",64.925048828125,0.07999253273010254,0.150007963180542,0.0010004043579101562,0.1171426773071289,0.26815104484558105
14,DME10,AMD9,"(496, 512)",65.05664825439453,0.07999253273010254,0.1960148811340332,0.0,0.11702632904052734,0.31304121017456055
10,DME10,AMD5,"(496, 512)",65.06226348876953,0.07999253273010254,0.08800339698791504,0.0009961128234863281,0.11780881881713867,0.20680832862854004
17,DME10,DME12,"(496, 512)",65.06646728515625,0.07999253273010254,0.14800095558166504,0.0010209083557128906,0.11795806884765625,0.2669799327850342
25,DME10,DME6,"(496, 512)",65.16403198242188,0.07999253273010254,0.19957709312438965,0.0,0.210982084274292,0.41055917739868164
24,DME10,DME5,"(496, 512)",65.19145965576172,0.07999253273010254,0.20102643966674805,0.000993967056274414,0.11597800254821777,0.31799840927124023
4,DME10,AMD13,"(496, 512)",65.2427749633789,0.07999253273010254,0.07702493667602539,0.0009748935699462891,0.11769461631774902,0.1956944465637207
1,DME10,AMD10,"(496, 512)",65.2973403930664,0.07999253273010254,0.19099903106689453,0.0009999275207519531,0.11518740653991699,0.3071863651275635
13,DME10,AMD8,"(496, 512)",65.31645202636719,0.07999253273010254,0.07703351974487305,0.0010006427764892578,0.11797380447387695,0.19600796699523926
8,DME10,AMD3,"(496, 512)",65.4823989868164,0.07999253273010254,0.1000216007232666,0.0009770393371582031,0.11700153350830078,0.21800017356872559
23,DME10,DME4,"(496, 512)",65.58158874511719,0.07999253273010254,0.20099925994873047,0.0009999275207519531,0.11600327491760254,0.31800246238708496
