,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
4,NORMAL14,AMD13,"(496, 512)",62.26012420654297,0.1950082778930664,0.07597613334655762,0.0009999275207519531,0.11900496482849121,0.19598102569580078
25,NORMAL14,NORMAL7,"(496, 512)",62.31591033935547,0.1950082778930664,0.1919994354248047,0.0010027885437011719,0.11916470527648926,0.3121669292449951
23,NORMAL14,NORMAL5,"(496, 512)",62.327850341796875,0.1950082778930664,0.19402217864990234,0.0010104179382324219,0.11996650695800781,0.3149991035461426
0,NORMAL14,AMD1,"(496, 512)",62.334190368652344,0.1950082778930664,0.09900832176208496,0.0009989738464355469,0.11797833442687988,0.2179856300354004
18,NORMAL14,NORMAL13,"(496, 512)",62.34032440185547,0.1950082778930664,0.1959853172302246,0.00101470947265625,0.1177523136138916,0.31475234031677246
21,NORMAL14,NORMAL3,"(496, 512)",62.341854095458984,0.1950082778930664,0.19499897956848145,0.0010139942169189453,0.11796927452087402,0.3139822483062744
24,NORMAL14,NORMAL6,"(496, 512)",62.342628479003906,0.1950082778930664,0.19302940368652344,0.001001119613647461,0.11799335479736328,0.3120238780975342
20,NORMAL14,NORMAL2,"(496, 512)",62.349544525146484,0.1950082778930664,0.18999886512756348,0.0010001659393310547,0.11773252487182617,0.3087315559387207
16,NORMAL14,NORMAL10,"(496, 512)",62.38704299926758,0.1950082778930664,0.2060229778289795,0.0009987354278564453,0.11597704887390137,0.3229987621307373
15,NORMAL14,NORMAL1,"(496, 512)",62.38746643066406,0.1950082778930664,0.1899714469909668,0.0009987354278564453,0.11599993705749512,0.30697011947631836
17,NORMAL14,NORMAL12,"(496, 512)",62.420257568359375,0.1950082778930664,0.19302845001220703,0.000993967056274414,0.12101554870605469,0.31503796577453613
14,NORMAL14,AMD9,"(496, 512)",62.42436218261719,0.1950082778930664,0.1916029453277588,0.0009975433349609375,0.11998987197875977,0.3125903606414795
5,NORMAL14,AMD14,"(496, 512)",62.42564010620117,0.1950082778930664,0.18904519081115723,0.000978708267211914,0.11699891090393066,0.3070228099822998
19,NORMAL14,NORMAL15,"(496, 512)",62.42940902709961,0.1950082778930664,0.1930234432220459,0.0010082721710205078,0.11796784400939941,0.3119995594024658
13,NORMAL14,AMD8,"(496, 512)",62.43589401245117,0.1950082778930664,0.07499980926513672,0.0010001659393310547,0.11800026893615723,0.194000244140625
27,NORMAL14,NORMAL9,"(496, 512)",62.44120407104492,0.1950082778930664,0.19499611854553223,0.0,0.11800265312194824,0.31299877166748047
26,NORMAL14,NORMAL8,"(496, 512)",62.47966766357422,0.1950082778930664,0.19202709197998047,0.0009999275207519531,0.1190035343170166,0.312030553817749
8,NORMAL14,AMD3,"(496, 512)",62.493743896484375,0.1950082778930664,0.09499883651733398,0.0,0.11600041389465332,0.2109992504119873
22,NORMAL14,NORMAL4,"(496, 512)",62.497764587402344,0.1950082778930664,0.19602489471435547,0.0010001659393310547,0.11699151992797852,0.31499505043029785
11,NORMAL14,AMD6,"(496, 512)",62.505191802978516,0.1950082778930664,0.07598471641540527,0.0,0.11745643615722656,0.19344115257263184
3,NORMAL14,AMD12,"(496, 512)",62.50870895385742,0.1950082778930664,0.07401871681213379,0.0020132064819335938,0.11697959899902344,0.19301152229309082
1,NORMAL14,AMD10,"(496, 512)",62.52880096435547,0.1950082778930664,0.1919870376586914,0.0010001659393310547,0.11816954612731934,0.3111567497253418
7,NORMAL14,AMD2,"(496, 512)",62.55216979980469,0.1950082778930664,0.09900951385498047,0.0009949207305908203,0.1209726333618164,0.2209770679473877
2,NORMAL14,AMD11,"(496, 512)",62.5528678894043,0.1950082778930664,0.07302689552307129,0.0010001659393310547,0.11701226234436035,0.1910393238067627
10,NORMAL14,AMD5,"(496, 512)",62.60404968261719,0.1950082778930664,0.07805681228637695,0.0009999275207519531,0.11898517608642578,0.1980419158935547
12,NORMAL14,AMD7,"(496, 512)",62.6780891418457,0.1950082778930664,0.1839888095855713,0.0010006427764892578,0.11599946022033691,0.30098891258239746
9,NORMAL14,AMD4,"(496, 512)",62.7221794128418,0.1950082778930664,0.07399940490722656,0.0009999275207519531,0.11832404136657715,0.19332337379455566
6,NORMAL14,AMD15,"(496, 512)",62.7799072265625,0.1950082778930664,0.09599947929382324,0.0010006427764892578,0.11763954162597656,0.21463966369628906
