,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
7,AMD13,AMD3,"(496, 512)",61.36726379394531,0.07400035858154297,0.1080024242401123,0.0009999275207519531,0.12299680709838867,0.23199915885925293
1,AMD13,AMD10,"(496, 512)",61.388362884521484,0.07400035858154297,0.18903374671936035,0.0,0.11907720565795898,0.30811095237731934
0,AMD13,AMD1,"(496, 512)",61.397621154785156,0.07400035858154297,0.10196995735168457,0.0009999275207519531,0.11899995803833008,0.2219698429107666
23,AMD13,NORMAL5,"(496, 512)",61.406578063964844,0.07400035858154297,0.19199514389038086,0.0009765625,0.11804676055908203,0.3110184669494629
14,AMD13,NORMAL1,"(496, 512)",61.4144172668457,0.07400035858154297,0.19002461433410645,0.0010006427764892578,0.11700749397277832,0.308032751083374
8,AMD13,AMD4,"(496, 512)",61.4156608581543,0.07400035858154297,0.07799911499023438,0.0,0.11800169944763184,0.1960008144378662
19,AMD13,NORMAL15,"(496, 512)",61.421607971191406,0.07400035858154297,0.19200992584228516,0.0009999275207519531,0.11698579788208008,0.3099956512451172
17,AMD13,NORMAL13,"(496, 512)",61.42420959472656,0.07400035858154297,0.19202184677124023,0.0009815692901611328,0.11843347549438477,0.31143689155578613
22,AMD13,NORMAL4,"(496, 512)",61.427066802978516,0.07400035858154297,0.1939702033996582,0.0010001659393310547,0.11902785301208496,0.3139982223510742
9,AMD13,AMD5,"(496, 512)",61.43264389038086,0.07400035858154297,0.07500123977661133,0.0009970664978027344,0.11952018737792969,0.19551849365234375
16,AMD13,NORMAL12,"(496, 512)",61.43392562866211,0.07400035858154297,0.1930239200592041,0.00099945068359375,0.11799955368041992,0.3120229244232178
2,AMD13,AMD11,"(496, 512)",61.43906021118164,0.07400035858154297,0.07602190971374512,0.0009784698486328125,0.1168985366821289,0.1948986053466797
18,AMD13,NORMAL14,"(496, 512)",61.4464225769043,0.07400035858154297,0.19997525215148926,0.0010104179382324219,0.12097907066345215,0.32196474075317383
21,AMD13,NORMAL3,"(496, 512)",61.45164489746094,0.07400035858154297,0.19499802589416504,0.0010230541229248047,0.12097811698913574,0.3169991970062256
26,AMD13,NORMAL8,"(496, 512)",61.45722579956055,0.07400035858154297,0.19902515411376953,0.0009984970092773438,0.11799001693725586,0.31801366806030273
11,AMD13,AMD7,"(496, 512)",61.47301483154297,0.07400035858154297,0.2089991569519043,0.0,0.121002197265625,0.3300013542175293
6,AMD13,AMD2,"(496, 512)",61.48747253417969,0.07400035858154297,0.10899996757507324,0.0010004043579101562,0.12199878692626953,0.23199915885925293
5,AMD13,AMD15,"(496, 512)",61.49375915527344,0.07400035858154297,0.09600067138671875,0.0010013580322265625,0.11999773979187012,0.21699976921081543
10,AMD13,AMD6,"(496, 512)",61.49994659423828,0.07400035858154297,0.0749974250793457,0.0009999275207519531,0.11800217628479004,0.1939995288848877
15,AMD13,NORMAL10,"(496, 512)",61.50520324707031,0.07400035858154297,0.19501590728759766,0.0,0.12013936042785645,0.3151552677154541
12,AMD13,AMD8,"(496, 512)",61.51529312133789,0.07400035858154297,0.08399844169616699,0.0010006427764892578,0.12199831008911133,0.20699739456176758
27,AMD13,NORMAL9,"(496, 512)",61.52583312988281,0.07400035858154297,0.19701719284057617,0.0010023117065429688,0.11996746063232422,0.31798696517944336
4,AMD13,AMD14,"(496, 512)",61.551307678222656,0.07400035858154297,0.18700361251831055,0.0009975433349609375,0.11797142028808594,0.3059725761413574
25,AMD13,NORMAL7,"(496, 512)",61.560791015625,0.07400035858154297,0.1929941177368164,0.0009922981262207031,0.11699938774108887,0.310985803604126
3,AMD13,AMD12,"(496, 512)",61.593204498291016,0.07400035858154297,0.07299947738647461,0.0010001659393310547,0.11900758743286133,0.193007230758667
13,AMD13,AMD9,"(496, 512)",61.59484100341797,0.07400035858154297,0.19402265548706055,0.0009992122650146484,0.11833930015563965,0.31336116790771484
24,AMD13,NORMAL6,"(496, 512)",61.61543273925781,0.07400035858154297,0.19402313232421875,0.0009770393371582031,0.11934685707092285,0.3143470287322998
20,AMD13,NORMAL2,"(496, 512)",61.898372650146484,0.07400035858154297,0.1979691982269287,0.00099945068359375,0.12000274658203125,0.3189713954925537
