,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,AMD1,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.42857142857142855,9.794554233551025
1,AMD10,"3, 5, 7",0.0,0.0,0.25,0.2,0.25,0.14285714285714285,7.7583606243133545
2,AMD11,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.42857142857142855,7.76301121711731
3,AMD12,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.2857142857142857,7.880967855453491
4,AMD13,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.5714285714285714,7.825794219970703
5,AMD14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,7.714623212814331
6,AMD15,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.2857142857142857,7.904588222503662
7,AMD2,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.2857142857142857,7.773658037185669
8,AMD3,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,7.70727801322937
9,AMD4,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.42857142857142855,7.792834043502808
10,AMD5,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,7.844954490661621
11,AMD6,"3, 5, 7",1.0,1.0,1.0,0.6,1.0,0.5714285714285714,7.809481620788574
12,AMD7,"3, 5, 7",1.0,0.3333333333333333,1.0,0.2,1.0,0.2857142857142857,7.809935808181763
13,AMD8,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,7.7360875606536865
14,AMD9,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,7.722105026245117
15,NORMAL1,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.8923351764678955
16,NORMAL10,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,7.921379327774048
17,NORMAL12,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.8261449337005615
18,NORMAL13,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,7.9985222816467285
19,NORMAL14,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,7.814591646194458
20,NORMAL15,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.813033819198608
21,NORMAL2,"3, 5, 7",0.5,0.6666666666666666,0.5,0.4,0.5,0.5714285714285714,7.807761907577515
22,NORMAL3,"3, 5, 7",0.0,0.0,0.0,0.0,0.0,0.0,7.896420240402222
23,NORMAL4,"3, 5, 7",0.0,0.0,0.25,0.4,0.25,0.42857142857142855,7.805499792098999
24,NORMAL5,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.2857142857142857,7.797689437866211
25,NORMAL6,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.14285714285714285,7.8778650760650635
26,NORMAL7,"3, 5, 7",0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,7.879114627838135
27,NORMAL8,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.42857142857142855,7.77215576171875
28,NORMAL9,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42857142857142855,7.842312812805176
29,Average MAP and MRR,"3, 5, 7",0.49425287356321845,0.42528735632183917,0.5114942528735633,0.3724137931034483,0.5229885057471265,0.3842364532019704,228.78306102752686
