,query image,k,reciprocal rank for k = 3,average precision for k = 3,reciprocal rank for k = 5,average precision for k = 5,reciprocal rank for k = 7,average precision for k = 7,time in seconds
0,DME1,"3, 5, 7",1.0,0.6666666666666666,1.0,0.4,1.0,0.2857142857142857,10.3832266330719
1,DME10,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,8.398579835891724
2,DME11,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.330317974090576
3,DME12,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.5714285714285714,8.547849893569946
4,DME13,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.7142857142857143,8.4107825756073
5,DME14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.341652154922485
6,DME15,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.42857142857142855,8.453002452850342
7,DME2,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.8571428571428571,8.400976181030273
8,DME3,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.339388132095337
9,DME4,"3, 5, 7",0.0,0.0,0.2,0.2,0.2,0.14285714285714285,8.434908390045166
10,DME5,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.5714285714285714,8.353597164154053
11,DME6,"3, 5, 7",0.5,0.3333333333333333,0.5,0.6,0.5,0.5714285714285714,8.460477590560913
12,DME7,"3, 5, 7",1.0,0.3333333333333333,1.0,0.6,1.0,0.42857142857142855,8.42647099494934
13,DME8,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,8.338103771209717
14,DME9,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.333812952041626
15,NORMAL1,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,8.411783933639526
16,NORMAL10,"3, 5, 7",0.5,0.6666666666666666,0.5,0.6,0.5,0.5714285714285714,8.351018190383911
17,NORMAL12,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.356257677078247
18,NORMAL13,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,8.42983102798462
19,NORMAL14,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.480782747268677
20,NORMAL15,"3, 5, 7",1.0,1.0,1.0,0.8,1.0,0.7142857142857143,8.384992122650146
21,NORMAL2,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.7142857142857143,8.344668865203857
22,NORMAL3,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,1.0,8.429153203964233
23,NORMAL4,"3, 5, 7",1.0,0.3333333333333333,1.0,0.4,1.0,0.2857142857142857,8.511666059494019
24,NORMAL5,"3, 5, 7",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.5714285714285714,8.409780740737915
25,NORMAL6,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,8.455142736434937
26,NORMAL7,"3, 5, 7",1.0,1.0,1.0,1.0,1.0,0.8571428571428571,8.356298208236694
27,NORMAL8,"3, 5, 7",0.5,0.3333333333333333,0.5,0.4,0.5,0.42857142857142855,8.415244579315186
28,NORMAL9,"3, 5, 7",1.0,0.6666666666666666,1.0,0.6,1.0,0.5714285714285714,8.448719024658203
29,Average MAP and MRR,"3, 5, 7",0.8505747126436782,0.7241379310344827,0.857471264367816,0.7241379310344827,0.857471264367816,0.6847290640394089,245.73848581314087
