,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
26,NORMAL4,NORMAL8,"(496, 512)",62.11199188232422,0.19199895858764648,0.19402265548706055,0.0009999275207519531,0.11546516418457031,0.3104877471923828
11,NORMAL4,DME6,"(496, 512)",62.14870834350586,0.19199895858764648,0.19797754287719727,0.0009999275207519531,0.11403632164001465,0.31301379203796387
6,NORMAL4,DME15,"(496, 512)",62.1552619934082,0.19199895858764648,0.1450178623199463,0.0009913444519042969,0.11666464805603027,0.26267385482788086
27,NORMAL4,NORMAL9,"(496, 512)",62.20518493652344,0.19199895858764648,0.1910390853881836,0.0009951591491699219,0.11398839950561523,0.30602264404296875
3,NORMAL4,DME12,"(496, 512)",62.22714614868164,0.19199895858764648,0.14403009414672852,0.0010027885437011719,0.115966796875,0.2609996795654297
10,NORMAL4,DME5,"(496, 512)",62.23320770263672,0.19199895858764648,0.19701170921325684,0.0010073184967041016,0.11496829986572266,0.3129873275756836
12,NORMAL4,DME7,"(496, 512)",62.28230285644531,0.19199895858764648,0.14402413368225098,0.0010232925415039062,0.11697840690612793,0.2620258331298828
0,NORMAL4,DME1,"(496, 512)",62.28779983520508,0.19199895858764648,0.19499635696411133,0.0010085105895996094,0.1179661750793457,0.31397104263305664
13,NORMAL4,DME8,"(496, 512)",62.330421447753906,0.19199895858764648,0.14499807357788086,0.0010237693786621094,0.11697793006896973,0.2629997730255127
16,NORMAL4,NORMAL10,"(496, 512)",62.330509185791016,0.19199895858764648,0.19800090789794922,0.0010008811950683594,0.1160285472869873,0.31597089767456055
18,NORMAL4,NORMAL13,"(496, 512)",62.337703704833984,0.19199895858764648,0.19199919700622559,0.0009999275207519531,0.11403155326843262,0.30703067779541016
23,NORMAL4,NORMAL5,"(496, 512)",62.37165832519531,0.19199895858764648,0.19900870323181152,0.0009996891021728516,0.11497879028320312,0.3149871826171875
4,NORMAL4,DME13,"(496, 512)",62.384071350097656,0.19199895858764648,0.14099860191345215,0.0010004043579101562,0.11500120162963867,0.257000207901001
20,NORMAL4,NORMAL15,"(496, 512)",62.38530349731445,0.19199895858764648,0.22200298309326172,0.0,0.11498236656188965,0.33698534965515137
19,NORMAL4,NORMAL14,"(496, 512)",62.41646194458008,0.19199895858764648,0.19496750831604004,0.00102996826171875,0.11697053909301758,0.31296801567077637
9,NORMAL4,DME4,"(496, 512)",62.43362808227539,0.19199895858764648,0.19405603408813477,0.0009937286376953125,0.11399173736572266,0.30904150009155273
25,NORMAL4,NORMAL7,"(496, 512)",62.44785690307617,0.19199895858764648,0.19099903106689453,0.0010004043579101562,0.11400747299194336,0.30600690841674805
24,NORMAL4,NORMAL6,"(496, 512)",62.463191986083984,0.19199895858764648,0.19602131843566895,0.0010008811950683594,0.11379075050354004,0.31081295013427734
21,NORMAL4,NORMAL2,"(496, 512)",62.50056838989258,0.19199895858764648,0.19898438453674316,0.0009999275207519531,0.11600017547607422,0.31598448753356934
7,NORMAL4,DME2,"(496, 512)",62.54631805419922,0.19199895858764648,0.19401931762695312,0.0010061264038085938,0.11497282981872559,0.3099982738494873
15,NORMAL4,NORMAL1,"(496, 512)",62.5523681640625,0.19199895858764648,0.19602131843566895,0.0009965896606445312,0.11397147178649902,0.3109893798828125
22,NORMAL4,NORMAL3,"(496, 512)",62.55396270751953,0.19199895858764648,0.1930217742919922,0.0009996891021728516,0.11699175834655762,0.31101322174072266
17,NORMAL4,NORMAL12,"(496, 512)",62.5567512512207,0.19199895858764648,0.19302034378051758,0.0009784698486328125,0.11500167846679688,0.30900049209594727
5,NORMAL4,DME14,"(496, 512)",62.5830192565918,0.19199895858764648,0.14299869537353516,0.0010020732879638672,0.11355304718017578,0.2575538158416748
14,NORMAL4,DME9,"(496, 512)",62.60295104980469,0.19199895858764648,0.14702272415161133,0.0009770393371582031,0.11501121520996094,0.26301097869873047
1,NORMAL4,DME10,"(496, 512)",62.79436492919922,0.19199895858764648,0.07399845123291016,0.0010008811950683594,0.11305022239685059,0.1880495548248291
2,NORMAL4,DME11,"(496, 512)",62.805110931396484,0.19199895858764648,0.14402222633361816,0.0010006427764892578,0.11497807502746582,0.26000094413757324
8,NORMAL4,DME3,"(496, 512)",62.84336471557617,0.19199895858764648,0.19402122497558594,0.0010066032409667969,0.11566424369812012,0.31069207191467285
