,query1,query2,size,siamese_distance
1,DME6,DME2,"(496, 512)",63.86163330078125
0,DME6,DME1,"(496, 512)",63.86177062988281
3,DME6,DME4,"(496, 512)",63.86191940307617
2,DME6,DME3,"(496, 512)",63.86225509643555
7,DME6,NORMAL12,"(496, 512)",64.420166015625
6,DME6,NORMAL10,"(496, 512)",64.42035675048828
17,DME6,NORMAL8,"(496, 512)",64.52252960205078
18,DME6,NORMAL9,"(496, 512)",64.52272033691406
5,DME6,NORMAL1,"(496, 512)",64.66912841796875
8,DME6,NORMAL13,"(496, 512)",64.87104034423828
4,DME6,DME5,"(496, 512)",64.9243392944336
9,DME6,NORMAL14,"(496, 512)",65.13361358642578
10,DME6,NORMAL15,"(496, 512)",65.13381958007812
11,DME6,NORMAL2,"(496, 512)",65.13386535644531
12,DME6,NORMAL3,"(496, 512)",65.13389587402344
16,DME6,NORMAL7,"(496, 512)",65.35363006591797
15,DME6,NORMAL6,"(496, 512)",65.35417175292969
14,DME6,NORMAL5,"(496, 512)",65.3708267211914
13,DME6,NORMAL4,"(496, 512)",65.37094116210938
