,query1,query2,size,siamese_distance
18,NORMAL8,NORMAL9,"(496, 512)",64.27518463134766
12,NORMAL8,NORMAL2,"(496, 512)",64.37849426269531
15,NORMAL8,NORMAL5,"(496, 512)",64.79104614257812
9,NORMAL8,NORMAL13,"(496, 512)",64.96429443359375
7,NORMAL8,NORMAL10,"(496, 512)",64.96435546875
8,NORMAL8,NORMAL12,"(496, 512)",64.96450805664062
1,NORMAL8,DME2,"(496, 512)",64.96551513671875
0,NORMAL8,DME1,"(496, 512)",64.96575164794922
3,NORMAL8,DME4,"(496, 512)",64.96585083007812
2,NORMAL8,DME3,"(496, 512)",64.96597290039062
4,NORMAL8,DME5,"(496, 512)",64.96601867675781
5,NORMAL8,DME6,"(496, 512)",64.966064453125
6,NORMAL8,NORMAL1,"(496, 512)",64.9661636352539
16,NORMAL8,NORMAL6,"(496, 512)",65.06989288330078
11,NORMAL8,NORMAL15,"(496, 512)",65.07844543457031
10,NORMAL8,NORMAL14,"(496, 512)",65.07884979248047
14,NORMAL8,NORMAL4,"(496, 512)",65.1619873046875
13,NORMAL8,NORMAL3,"(496, 512)",65.16263580322266
17,NORMAL8,NORMAL7,"(496, 512)",65.19615936279297
