,query1,query2,size,siamese_distance
17,DME4,NORMAL8,"(496, 512)",61.538108825683594
6,DME4,NORMAL10,"(496, 512)",61.57777786254883
5,DME4,NORMAL1,"(496, 512)",61.580711364746094
12,DME4,NORMAL3,"(496, 512)",61.59524917602539
3,DME4,DME5,"(496, 512)",61.600154876708984
10,DME4,NORMAL15,"(496, 512)",61.623634338378906
13,DME4,NORMAL4,"(496, 512)",61.632965087890625
11,DME4,NORMAL2,"(496, 512)",61.65005111694336
7,DME4,NORMAL12,"(496, 512)",61.65399932861328
15,DME4,NORMAL6,"(496, 512)",61.65679168701172
4,DME4,DME6,"(496, 512)",61.6909294128418
16,DME4,NORMAL7,"(496, 512)",61.70283508300781
0,DME4,DME1,"(496, 512)",61.79069137573242
18,DME4,NORMAL9,"(496, 512)",61.80271911621094
14,DME4,NORMAL5,"(496, 512)",61.82634735107422
8,DME4,NORMAL13,"(496, 512)",61.900997161865234
9,DME4,NORMAL14,"(496, 512)",61.950706481933594
1,DME4,DME2,"(496, 512)",61.96305847167969
2,DME4,DME3,"(496, 512)",62.37245178222656
