,query1,query2,size,siamese_distance
11,NORMAL8,NORMAL15,"(496, 512)",61.49296951293945
16,NORMAL8,NORMAL6,"(496, 512)",61.49507141113281
3,NORMAL8,DME4,"(496, 512)",61.538108825683594
13,NORMAL8,NORMAL3,"(496, 512)",61.57526397705078
17,NORMAL8,NORMAL7,"(496, 512)",61.62250900268555
4,NORMAL8,DME5,"(496, 512)",61.646270751953125
15,NORMAL8,NORMAL5,"(496, 512)",61.64739227294922
6,NORMAL8,NORMAL1,"(496, 512)",61.662261962890625
14,NORMAL8,NORMAL4,"(496, 512)",61.669944763183594
5,NORMAL8,DME6,"(496, 512)",61.685054779052734
8,NORMAL8,NORMAL12,"(496, 512)",61.71174240112305
18,NORMAL8,NORMAL9,"(496, 512)",61.71458435058594
10,NORMAL8,NORMAL14,"(496, 512)",61.7210578918457
7,NORMAL8,NORMAL10,"(496, 512)",61.74100112915039
9,NORMAL8,NORMAL13,"(496, 512)",61.75762176513672
12,NORMAL8,NORMAL2,"(496, 512)",61.76835632324219
0,NORMAL8,DME1,"(496, 512)",61.79011535644531
1,NORMAL8,DME2,"(496, 512)",61.9243049621582
2,NORMAL8,DME3,"(496, 512)",62.479854583740234
