,query1,query2,size,siamese_distance
8,NORMAL4,DME3,"(496, 512)",60.061363220214844
2,NORMAL4,DME11,"(496, 512)",60.7618408203125
1,NORMAL4,DME10,"(496, 512)",60.8366584777832
5,NORMAL4,DME14,"(496, 512)",60.879905700683594
14,NORMAL4,DME9,"(496, 512)",61.16999435424805
7,NORMAL4,DME2,"(496, 512)",61.198673248291016
21,NORMAL4,NORMAL2,"(496, 512)",61.33629608154297
15,NORMAL4,NORMAL1,"(496, 512)",61.45135498046875
17,NORMAL4,NORMAL12,"(496, 512)",61.513607025146484
4,NORMAL4,DME13,"(496, 512)",61.51463317871094
22,NORMAL4,NORMAL3,"(496, 512)",61.524349212646484
16,NORMAL4,NORMAL10,"(496, 512)",61.599788665771484
24,NORMAL4,NORMAL6,"(496, 512)",61.6273193359375
19,NORMAL4,NORMAL14,"(496, 512)",61.628822326660156
25,NORMAL4,NORMAL7,"(496, 512)",61.66304016113281
9,NORMAL4,DME4,"(496, 512)",61.685794830322266
20,NORMAL4,NORMAL15,"(496, 512)",61.77382278442383
13,NORMAL4,DME8,"(496, 512)",61.805809020996094
0,NORMAL4,DME1,"(496, 512)",61.82108688354492
18,NORMAL4,NORMAL13,"(496, 512)",61.82245635986328
27,NORMAL4,NORMAL9,"(496, 512)",61.82373046875
23,NORMAL4,NORMAL5,"(496, 512)",61.836952209472656
12,NORMAL4,DME7,"(496, 512)",61.91899108886719
26,NORMAL4,NORMAL8,"(496, 512)",61.929176330566406
10,NORMAL4,DME5,"(496, 512)",61.94219970703125
11,NORMAL4,DME6,"(496, 512)",61.947933197021484
3,NORMAL4,DME12,"(496, 512)",61.95368194580078
6,NORMAL4,DME15,"(496, 512)",62.10920333862305
