,query1,query2,size,siamese_distance
15,DME8,NORMAL10,"(496, 512)",61.28646469116211
8,DME8,DME3,"(496, 512)",61.33806610107422
16,DME8,NORMAL12,"(496, 512)",61.51146697998047
26,DME8,NORMAL8,"(496, 512)",61.515785217285156
2,DME8,DME11,"(496, 512)",61.518043518066406
10,DME8,DME5,"(496, 512)",61.546791076660156
1,DME8,DME10,"(496, 512)",61.59174346923828
24,DME8,NORMAL6,"(496, 512)",61.64021682739258
21,DME8,NORMAL3,"(496, 512)",61.675724029541016
5,DME8,DME14,"(496, 512)",61.683074951171875
3,DME8,DME12,"(496, 512)",61.693843841552734
4,DME8,DME13,"(496, 512)",61.69911193847656
19,DME8,NORMAL15,"(496, 512)",61.71012496948242
13,DME8,DME9,"(496, 512)",61.712608337402344
20,DME8,NORMAL2,"(496, 512)",61.71586608886719
14,DME8,NORMAL1,"(496, 512)",61.7354850769043
7,DME8,DME2,"(496, 512)",61.75486755371094
12,DME8,DME7,"(496, 512)",61.76462936401367
11,DME8,DME6,"(496, 512)",61.7744026184082
22,DME8,NORMAL4,"(496, 512)",61.77628707885742
25,DME8,NORMAL7,"(496, 512)",61.778709411621094
17,DME8,NORMAL13,"(496, 512)",61.79151153564453
27,DME8,NORMAL9,"(496, 512)",61.80988693237305
18,DME8,NORMAL14,"(496, 512)",61.8292350769043
9,DME8,DME4,"(496, 512)",61.844547271728516
6,DME8,DME15,"(496, 512)",61.85826873779297
0,DME8,DME1,"(496, 512)",61.934120178222656
23,DME8,NORMAL5,"(496, 512)",61.96995162963867
