,query image,k,average precision,reciprocal rank
0,DME1,3,0.6666666666666666,1.0
1,DME10,3,1.0,1.0
2,DME11,3,1.0,1.0
3,DME12,3,0.3333333333333333,1.0
4,DME13,3,1.0,1.0
5,DME14,3,1.0,1.0
6,DME15,3,0.6666666666666666,1.0
7,DME2,3,1.0,1.0
8,DME3,3,1.0,1.0
9,DME4,3,0.0,0.0
10,DME5,3,0.3333333333333333,0.3333333333333333
11,DME6,3,0.3333333333333333,0.3333333333333333
12,DME7,3,1.0,1.0
13,DME8,3,0.6666666666666666,0.5
14,DME9,3,1.0,1.0
15,NORMAL1,3,1.0,1.0
16,NORMAL10,3,0.6666666666666666,0.5
17,NORMAL12,3,1.0,1.0
18,NORMAL13,3,1.0,1.0
19,NORMAL14,3,1.0,1.0
20,NORMAL15,3,0.6666666666666666,1.0
21,NORMAL2,3,0.6666666666666666,0.5
22,NORMAL3,3,1.0,1.0
23,NORMAL4,3,0.3333333333333333,0.5
24,NORMAL5,3,0.3333333333333333,0.5
25,NORMAL6,3,1.0,1.0
26,NORMAL7,3,1.0,1.0
27,NORMAL8,3,0.3333333333333333,0.3333333333333333
28,NORMAL9,3,1.0,1.0
29,Average MAP and MRR,3,0.7586206896551723,0.8103448275862069
