,query1,query2,size,siamese_distance
23,DME8,NORMAL5,"(496, 512)",62.48192596435547
0,DME8,DME1,"(496, 512)",62.51179504394531
4,DME8,DME13,"(496, 512)",62.52695083618164
18,DME8,NORMAL14,"(496, 512)",62.53916931152344
13,DME8,DME9,"(496, 512)",62.56251525878906
3,DME8,DME12,"(496, 512)",62.56563949584961
6,DME8,DME15,"(496, 512)",62.61674118041992
14,DME8,NORMAL1,"(496, 512)",62.64810562133789
21,DME8,NORMAL3,"(496, 512)",62.65168762207031
7,DME8,DME2,"(496, 512)",62.652183532714844
27,DME8,NORMAL9,"(496, 512)",62.652347564697266
25,DME8,NORMAL7,"(496, 512)",62.66004943847656
12,DME8,DME7,"(496, 512)",62.66057205200195
11,DME8,DME6,"(496, 512)",62.66078186035156
17,DME8,NORMAL13,"(496, 512)",62.662010192871094
22,DME8,NORMAL4,"(496, 512)",62.670509338378906
10,DME8,DME5,"(496, 512)",62.679569244384766
16,DME8,NORMAL12,"(496, 512)",62.70582962036133
9,DME8,DME4,"(496, 512)",62.724449157714844
8,DME8,DME3,"(496, 512)",62.7322998046875
26,DME8,NORMAL8,"(496, 512)",62.734764099121094
19,DME8,NORMAL15,"(496, 512)",62.73494338989258
15,DME8,NORMAL10,"(496, 512)",62.7429313659668
24,DME8,NORMAL6,"(496, 512)",62.7465705871582
5,DME8,DME14,"(496, 512)",62.75680160522461
1,DME8,DME10,"(496, 512)",62.76430892944336
2,DME8,DME11,"(496, 512)",62.81990432739258
20,DME8,NORMAL2,"(496, 512)",62.82530975341797
