,query1,query2,size,siamese_distance
10,NORMAL8,DME5,"(496, 512)",62.467491149902344
3,NORMAL8,DME12,"(496, 512)",62.48101806640625
16,NORMAL8,NORMAL10,"(496, 512)",62.48822021484375
23,NORMAL8,NORMAL4,"(496, 512)",62.53385925292969
11,NORMAL8,DME6,"(496, 512)",62.53985595703125
20,NORMAL8,NORMAL15,"(496, 512)",62.56437301635742
12,NORMAL8,DME7,"(496, 512)",62.57704544067383
17,NORMAL8,NORMAL12,"(496, 512)",62.6237907409668
22,NORMAL8,NORMAL3,"(496, 512)",62.62657165527344
25,NORMAL8,NORMAL6,"(496, 512)",62.62734603881836
6,NORMAL8,DME15,"(496, 512)",62.628662109375
15,NORMAL8,NORMAL1,"(496, 512)",62.65271759033203
27,NORMAL8,NORMAL9,"(496, 512)",62.6842155456543
4,NORMAL8,DME13,"(496, 512)",62.69203186035156
9,NORMAL8,DME4,"(496, 512)",62.69361114501953
19,NORMAL8,NORMAL14,"(496, 512)",62.69440841674805
26,NORMAL8,NORMAL7,"(496, 512)",62.70965576171875
0,NORMAL8,DME1,"(496, 512)",62.73110580444336
18,NORMAL8,NORMAL13,"(496, 512)",62.73202896118164
21,NORMAL8,NORMAL2,"(496, 512)",62.73332977294922
13,NORMAL8,DME8,"(496, 512)",62.734764099121094
14,NORMAL8,DME9,"(496, 512)",62.781192779541016
24,NORMAL8,NORMAL5,"(496, 512)",62.78236770629883
7,NORMAL8,DME2,"(496, 512)",62.872047424316406
8,NORMAL8,DME3,"(496, 512)",62.90595626831055
5,NORMAL8,DME14,"(496, 512)",62.97046661376953
1,NORMAL8,DME10,"(496, 512)",62.98936080932617
2,NORMAL8,DME11,"(496, 512)",62.99265670776367
