,query1,query2,size,siamese_distance
2,DME5,DME3,"(496, 512)",62.193702697753906
0,DME5,DME1,"(496, 512)",62.22123336791992
14,DME5,NORMAL5,"(496, 512)",62.2453498840332
1,DME5,DME2,"(496, 512)",62.273529052734375
7,DME5,NORMAL12,"(496, 512)",62.28249740600586
3,DME5,DME4,"(496, 512)",62.30414581298828
6,DME5,NORMAL10,"(496, 512)",62.304805755615234
12,DME5,NORMAL3,"(496, 512)",62.30506134033203
16,DME5,NORMAL7,"(496, 512)",62.308956146240234
18,DME5,NORMAL9,"(496, 512)",62.31146240234375
4,DME5,DME6,"(496, 512)",62.32236099243164
9,DME5,NORMAL14,"(496, 512)",62.32575225830078
15,DME5,NORMAL6,"(496, 512)",62.333152770996094
17,DME5,NORMAL8,"(496, 512)",62.337345123291016
10,DME5,NORMAL15,"(496, 512)",62.339439392089844
8,DME5,NORMAL13,"(496, 512)",62.345672607421875
11,DME5,NORMAL2,"(496, 512)",62.34585189819336
13,DME5,NORMAL4,"(496, 512)",62.35039520263672
5,DME5,NORMAL1,"(496, 512)",62.3624382019043
