,query1,query2,size,siamese_distance
11,NORMAL1,NORMAL2,"(496, 512)",61.87251281738281
10,NORMAL1,NORMAL15,"(496, 512)",61.89418411254883
3,NORMAL1,DME4,"(496, 512)",61.89600372314453
7,NORMAL1,NORMAL12,"(496, 512)",61.900753021240234
4,NORMAL1,DME5,"(496, 512)",61.93070602416992
18,NORMAL1,NORMAL9,"(496, 512)",61.93508529663086
16,NORMAL1,NORMAL7,"(496, 512)",61.955177307128906
5,NORMAL1,DME6,"(496, 512)",61.95874786376953
9,NORMAL1,NORMAL14,"(496, 512)",61.96448516845703
12,NORMAL1,NORMAL3,"(496, 512)",61.97473907470703
13,NORMAL1,NORMAL4,"(496, 512)",61.991912841796875
15,NORMAL1,NORMAL6,"(496, 512)",61.994232177734375
8,NORMAL1,NORMAL13,"(496, 512)",61.994632720947266
17,NORMAL1,NORMAL8,"(496, 512)",62.007408142089844
6,NORMAL1,NORMAL10,"(496, 512)",62.015743255615234
1,NORMAL1,DME2,"(496, 512)",62.05628967285156
14,NORMAL1,NORMAL5,"(496, 512)",62.07426452636719
0,NORMAL1,DME1,"(496, 512)",62.114532470703125
2,NORMAL1,DME3,"(496, 512)",62.11954879760742
