,query1,query2,size,siamese_distance
17,DME5,NORMAL8,"(496, 512)",62.32144546508789
18,DME5,NORMAL9,"(496, 512)",62.32487106323242
3,DME5,DME4,"(496, 512)",62.32640075683594
5,DME5,NORMAL1,"(496, 512)",62.3264045715332
4,DME5,DME6,"(496, 512)",62.32640838623047
2,DME5,DME3,"(496, 512)",62.326412200927734
15,DME5,NORMAL6,"(496, 512)",62.32712173461914
16,DME5,NORMAL7,"(496, 512)",62.327125549316406
12,DME5,NORMAL3,"(496, 512)",62.3271369934082
14,DME5,NORMAL5,"(496, 512)",62.32714080810547
13,DME5,NORMAL4,"(496, 512)",62.32714080810547
6,DME5,NORMAL10,"(496, 512)",62.33028793334961
8,DME5,NORMAL13,"(496, 512)",62.33072280883789
9,DME5,NORMAL14,"(496, 512)",62.33073043823242
10,DME5,NORMAL15,"(496, 512)",62.33073043823242
7,DME5,NORMAL12,"(496, 512)",62.33073043823242
11,DME5,NORMAL2,"(496, 512)",62.33073043823242
1,DME5,DME2,"(496, 512)",62.33364486694336
0,DME5,DME1,"(496, 512)",62.33365249633789
