,query1,query2,size,siamese_distance
4,NORMAL1,DME5,"(496, 512)",62.31808090209961
5,NORMAL1,DME6,"(496, 512)",62.31809616088867
1,NORMAL1,DME2,"(496, 512)",62.31809997558594
3,NORMAL1,DME4,"(496, 512)",62.3181037902832
8,NORMAL1,NORMAL13,"(496, 512)",62.3181037902832
11,NORMAL1,NORMAL2,"(496, 512)",62.3181037902832
10,NORMAL1,NORMAL15,"(496, 512)",62.3181037902832
9,NORMAL1,NORMAL14,"(496, 512)",62.31810760498047
16,NORMAL1,NORMAL7,"(496, 512)",62.31810760498047
13,NORMAL1,NORMAL4,"(496, 512)",62.31810760498047
12,NORMAL1,NORMAL3,"(496, 512)",62.31810760498047
18,NORMAL1,NORMAL9,"(496, 512)",62.31810760498047
6,NORMAL1,NORMAL10,"(496, 512)",62.31810760498047
14,NORMAL1,NORMAL5,"(496, 512)",62.318111419677734
15,NORMAL1,NORMAL6,"(496, 512)",62.318111419677734
2,NORMAL1,DME3,"(496, 512)",62.318111419677734
17,NORMAL1,NORMAL8,"(496, 512)",62.318111419677734
0,NORMAL1,DME1,"(496, 512)",62.318115234375
7,NORMAL1,NORMAL12,"(496, 512)",62.318119049072266
