,query image,k,average precision,reciprocal rank
0,DME1,3,0.3333333333333333,0.3333333333333333
1,DME2,3,0.3333333333333333,0.5
2,DME3,3,0.6666666666666666,1.0
3,DME4,3,0.0,0.0
4,DME5,3,0.0,0.0
5,DME6,3,0.0,0.0
6,NORMAL1,3,1.0,1.0
7,NORMAL10,3,1.0,1.0
8,NORMAL12,3,1.0,1.0
9,NORMAL13,3,0.6666666666666666,1.0
10,NORMAL14,3,0.6666666666666666,1.0
11,NORMAL15,3,0.3333333333333333,0.5
12,NORMAL2,3,1.0,1.0
13,NORMAL3,3,1.0,1.0
14,NORMAL4,3,0.3333333333333333,0.5
15,NORMAL5,3,0.6666666666666666,0.5
16,NORMAL6,3,0.6666666666666666,1.0
17,NORMAL7,3,1.0,1.0
18,NORMAL8,3,0.6666666666666666,0.5
19,NORMAL9,3,0.6666666666666666,1.0
20,Average MAP and MRR,3,0.5999999999999999,0.6916666666666667
