,query1,query2,size,siamese_distance
1,DME3,DME2,"(496, 512)",62.06169509887695
0,DME3,DME1,"(496, 512)",62.0633430480957
16,DME3,NORMAL7,"(496, 512)",62.06370162963867
14,DME3,NORMAL5,"(496, 512)",62.064186096191406
8,DME3,NORMAL13,"(496, 512)",62.06442642211914
18,DME3,NORMAL9,"(496, 512)",62.06448745727539
3,DME3,DME5,"(496, 512)",62.064754486083984
13,DME3,NORMAL4,"(496, 512)",62.064815521240234
12,DME3,NORMAL3,"(496, 512)",62.06482696533203
9,DME3,NORMAL14,"(496, 512)",62.06492614746094
5,DME3,NORMAL1,"(496, 512)",62.06509780883789
4,DME3,DME6,"(496, 512)",62.06510543823242
10,DME3,NORMAL15,"(496, 512)",62.06570053100586
2,DME3,DME4,"(496, 512)",62.065757751464844
15,DME3,NORMAL6,"(496, 512)",62.06592559814453
17,DME3,NORMAL8,"(496, 512)",62.0660514831543
11,DME3,NORMAL2,"(496, 512)",62.06608963012695
7,DME3,NORMAL12,"(496, 512)",62.06610870361328
6,DME3,NORMAL10,"(496, 512)",62.066200256347656
