,query1,query2,size,siamese_distance
16,NORMAL3,NORMAL7,"(496, 512)",62.05698776245117
6,NORMAL3,NORMAL1,"(496, 512)",62.05707931518555
15,NORMAL3,NORMAL6,"(496, 512)",62.057186126708984
4,NORMAL3,DME5,"(496, 512)",62.057315826416016
7,NORMAL3,NORMAL10,"(496, 512)",62.05760955810547
12,NORMAL3,NORMAL2,"(496, 512)",62.05778884887695
9,NORMAL3,NORMAL13,"(496, 512)",62.05791473388672
10,NORMAL3,NORMAL14,"(496, 512)",62.05809783935547
8,NORMAL3,NORMAL12,"(496, 512)",62.05818176269531
17,NORMAL3,NORMAL8,"(496, 512)",62.05837631225586
18,NORMAL3,NORMAL9,"(496, 512)",62.05842208862305
3,NORMAL3,DME4,"(496, 512)",62.05845260620117
5,NORMAL3,DME6,"(496, 512)",62.058937072753906
13,NORMAL3,NORMAL4,"(496, 512)",62.05950164794922
0,NORMAL3,DME1,"(496, 512)",62.060245513916016
11,NORMAL3,NORMAL15,"(496, 512)",62.0603141784668
14,NORMAL3,NORMAL5,"(496, 512)",62.060367584228516
1,NORMAL3,DME2,"(496, 512)",62.06112289428711
2,NORMAL3,DME3,"(496, 512)",62.06482696533203
