,query1,query2,size,siamese_distance
2,DME6,DME3,"(496, 512)",56.571434020996094
0,DME6,DME1,"(496, 512)",57.385372161865234
14,DME6,NORMAL5,"(496, 512)",57.79027557373047
6,DME6,NORMAL10,"(496, 512)",58.457069396972656
1,DME6,DME2,"(496, 512)",58.59530258178711
12,DME6,NORMAL3,"(496, 512)",58.9617805480957
17,DME6,NORMAL8,"(496, 512)",59.0802116394043
16,DME6,NORMAL7,"(496, 512)",59.0871467590332
13,DME6,NORMAL4,"(496, 512)",59.107391357421875
9,DME6,NORMAL14,"(496, 512)",59.16944885253906
8,DME6,NORMAL13,"(496, 512)",59.17222595214844
15,DME6,NORMAL6,"(496, 512)",59.252723693847656
11,DME6,NORMAL2,"(496, 512)",59.25725173950195
5,DME6,NORMAL1,"(496, 512)",59.28532791137695
4,DME6,DME5,"(496, 512)",59.28636932373047
7,DME6,NORMAL12,"(496, 512)",59.5015754699707
18,DME6,NORMAL9,"(496, 512)",59.653350830078125
3,DME6,DME4,"(496, 512)",59.695335388183594
10,DME6,NORMAL15,"(496, 512)",59.810882568359375
