,query1,query2,size,siamese_distance
2,NORMAL1,DME3,"(496, 512)",57.90752029418945
14,NORMAL1,NORMAL5,"(496, 512)",58.573097229003906
0,NORMAL1,DME1,"(496, 512)",58.57752990722656
6,NORMAL1,NORMAL10,"(496, 512)",59.14152908325195
1,NORMAL1,DME2,"(496, 512)",59.18294143676758
5,NORMAL1,DME6,"(496, 512)",59.28532791137695
10,NORMAL1,NORMAL15,"(496, 512)",59.51166534423828
17,NORMAL1,NORMAL8,"(496, 512)",59.51649856567383
13,NORMAL1,NORMAL4,"(496, 512)",59.526824951171875
18,NORMAL1,NORMAL9,"(496, 512)",59.704708099365234
8,NORMAL1,NORMAL13,"(496, 512)",59.70630645751953
9,NORMAL1,NORMAL14,"(496, 512)",59.85380554199219
15,NORMAL1,NORMAL6,"(496, 512)",59.94295883178711
7,NORMAL1,NORMAL12,"(496, 512)",60.02829360961914
4,NORMAL1,DME5,"(496, 512)",60.070640563964844
11,NORMAL1,NORMAL2,"(496, 512)",60.17296600341797
3,NORMAL1,DME4,"(496, 512)",60.23200607299805
16,NORMAL1,NORMAL7,"(496, 512)",60.244510650634766
12,NORMAL1,NORMAL3,"(496, 512)",60.48389434814453
