,query1,query2,size,siamese_distance
8,NORMAL13,NORMAL12,"(496, 512)",63.297889709472656
9,NORMAL13,NORMAL14,"(496, 512)",63.29801940917969
3,NORMAL13,DME4,"(496, 512)",63.29806900024414
5,NORMAL13,DME6,"(496, 512)",63.29814147949219
0,NORMAL13,DME1,"(496, 512)",63.29819869995117
1,NORMAL13,DME2,"(496, 512)",63.298255920410156
4,NORMAL13,DME5,"(496, 512)",63.29833221435547
7,NORMAL13,NORMAL10,"(496, 512)",63.298362731933594
6,NORMAL13,NORMAL1,"(496, 512)",63.298431396484375
2,NORMAL13,DME3,"(496, 512)",63.29863739013672
12,NORMAL13,NORMAL3,"(496, 512)",65.34468841552734
13,NORMAL13,NORMAL4,"(496, 512)",65.344970703125
11,NORMAL13,NORMAL2,"(496, 512)",65.88020324707031
10,NORMAL13,NORMAL15,"(496, 512)",65.98429107666016
15,NORMAL13,NORMAL6,"(496, 512)",66.10383605957031
17,NORMAL13,NORMAL8,"(496, 512)",66.104248046875
18,NORMAL13,NORMAL9,"(496, 512)",66.10430908203125
14,NORMAL13,NORMAL5,"(496, 512)",66.1043701171875
16,NORMAL13,NORMAL7,"(496, 512)",66.1046142578125
