,query1,query2,size,siamese_distance
2,DME5,DME3,"(496, 512)",62.44829177856445
10,DME5,NORMAL15,"(496, 512)",62.449462890625
15,DME5,NORMAL6,"(496, 512)",62.449493408203125
18,DME5,NORMAL9,"(496, 512)",62.449581146240234
5,DME5,NORMAL1,"(496, 512)",62.44959259033203
9,DME5,NORMAL14,"(496, 512)",62.44975662231445
0,DME5,DME1,"(496, 512)",62.44985580444336
7,DME5,NORMAL12,"(496, 512)",62.44994354248047
8,DME5,NORMAL13,"(496, 512)",62.45009231567383
13,DME5,NORMAL4,"(496, 512)",62.45058822631836
3,DME5,DME4,"(496, 512)",62.450645446777344
14,DME5,NORMAL5,"(496, 512)",62.450714111328125
11,DME5,NORMAL2,"(496, 512)",62.450923919677734
6,DME5,NORMAL10,"(496, 512)",62.451087951660156
4,DME5,DME6,"(496, 512)",62.45124435424805
1,DME5,DME2,"(496, 512)",62.45125198364258
16,DME5,NORMAL7,"(496, 512)",62.451385498046875
12,DME5,NORMAL3,"(496, 512)",62.45158386230469
17,DME5,NORMAL8,"(496, 512)",62.45198059082031
