,query1,query2,size,siamese_distance
9,NORMAL2,NORMAL13,"(496, 512)",62.44696807861328
2,NORMAL2,DME3,"(496, 512)",62.44709777832031
15,NORMAL2,NORMAL6,"(496, 512)",62.448020935058594
0,NORMAL2,DME1,"(496, 512)",62.448062896728516
3,NORMAL2,DME4,"(496, 512)",62.448204040527344
10,NORMAL2,NORMAL14,"(496, 512)",62.448341369628906
13,NORMAL2,NORMAL4,"(496, 512)",62.44853210449219
12,NORMAL2,NORMAL3,"(496, 512)",62.44886016845703
7,NORMAL2,NORMAL10,"(496, 512)",62.449012756347656
6,NORMAL2,NORMAL1,"(496, 512)",62.44906997680664
14,NORMAL2,NORMAL5,"(496, 512)",62.44943618774414
11,NORMAL2,NORMAL15,"(496, 512)",62.44953918457031
5,NORMAL2,DME6,"(496, 512)",62.45016098022461
16,NORMAL2,NORMAL7,"(496, 512)",62.45016098022461
17,NORMAL2,NORMAL8,"(496, 512)",62.450382232666016
8,NORMAL2,NORMAL12,"(496, 512)",62.4504508972168
18,NORMAL2,NORMAL9,"(496, 512)",62.45068359375
4,NORMAL2,DME5,"(496, 512)",62.450923919677734
1,NORMAL2,DME2,"(496, 512)",62.45127868652344
