,query1,query2,size,siamese_distance
7,DME1,NORMAL12,"(496, 512)",62.31951141357422
0,DME1,DME2,"(496, 512)",62.320465087890625
9,DME1,NORMAL14,"(496, 512)",62.32059097290039
1,DME1,DME3,"(496, 512)",62.32345962524414
6,DME1,NORMAL10,"(496, 512)",62.32421112060547
13,DME1,NORMAL4,"(496, 512)",62.32481384277344
14,DME1,NORMAL5,"(496, 512)",62.3248176574707
12,DME1,NORMAL3,"(496, 512)",62.3248291015625
10,DME1,NORMAL15,"(496, 512)",62.324832916259766
11,DME1,NORMAL2,"(496, 512)",62.324832916259766
15,DME1,NORMAL6,"(496, 512)",62.324851989746094
3,DME1,DME5,"(496, 512)",62.32603454589844
5,DME1,NORMAL1,"(496, 512)",62.32604217529297
4,DME1,DME6,"(496, 512)",62.3260612487793
18,DME1,NORMAL9,"(496, 512)",62.32630920410156
17,DME1,NORMAL8,"(496, 512)",62.32632064819336
16,DME1,NORMAL7,"(496, 512)",62.32633972167969
8,DME1,NORMAL13,"(496, 512)",62.32978820800781
2,DME1,DME4,"(496, 512)",62.33135986328125
