,query1,query2,size,siamese_distance
14,NORMAL2,NORMAL5,"(496, 512)",62.315765380859375
7,NORMAL2,NORMAL10,"(496, 512)",62.315765380859375
8,NORMAL2,NORMAL12,"(496, 512)",62.315765380859375
9,NORMAL2,NORMAL13,"(496, 512)",62.315773010253906
10,NORMAL2,NORMAL14,"(496, 512)",62.315773010253906
11,NORMAL2,NORMAL15,"(496, 512)",62.31577682495117
12,NORMAL2,NORMAL3,"(496, 512)",62.31578063964844
13,NORMAL2,NORMAL4,"(496, 512)",62.31578063964844
16,NORMAL2,NORMAL7,"(496, 512)",62.31602478027344
6,NORMAL2,NORMAL1,"(496, 512)",62.316986083984375
17,NORMAL2,NORMAL8,"(496, 512)",62.31821823120117
5,NORMAL2,DME6,"(496, 512)",62.318641662597656
15,NORMAL2,NORMAL6,"(496, 512)",62.31947326660156
2,NORMAL2,DME3,"(496, 512)",62.32041931152344
18,NORMAL2,NORMAL9,"(496, 512)",62.32083511352539
4,NORMAL2,DME5,"(496, 512)",62.32184982299805
0,NORMAL2,DME1,"(496, 512)",62.32396697998047
1,NORMAL2,DME2,"(496, 512)",62.32402420043945
3,NORMAL2,DME4,"(496, 512)",62.326663970947266
